timestamp_pc;tempo_s;rpm_bruto;rpm_calibrado;freq_hz
14:40:20.819884;0.06;0.00;0.00;0.00
14:40:21.108613;0.26;0.00;0.00;0.00
14:40:21.220052;0.47;0.00;0.00;0.00
14:40:21.419505;0.67;0.00;0.00;0.00
14:40:21.619946;0.87;0.00;0.00;0.00
14:40:21.819503;1.07;0.00;0.00;0.00
14:40:22.020265;1.26;0.00;0.00;0.00
14:40:22.219565;1.47;0.00;0.00;0.00
14:40:22.420191;1.66;0.00;0.00;0.00
14:40:22.619875;1.87;0.00;0.00;0.00
14:40:22.820222;2.07;0.00;0.00;0.00
14:40:23.020496;2.27;0.00;0.00;0.00
14:40:23.219732;2.46;0.00;0.00;0.00
14:40:23.420323;2.66;0.00;0.00;0.00
14:40:23.620167;2.87;0.00;0.00;0.00
14:40:23.819907;3.07;0.00;0.00;0.00
14:40:24.019986;3.27;0.00;0.00;0.00
14:40:24.219809;3.46;0.00;0.00;0.00
14:40:24.420084;3.66;0.00;0.00;0.00
14:40:24.620498;3.87;0.00;0.00;0.00
14:40:24.820452;4.07;0.00;0.00;0.00
14:40:25.020714;4.26;0.00;0.00;0.00
14:40:25.219874;4.47;0.00;0.00;0.00
14:40:25.420115;4.66;0.00;0.00;0.00
14:40:25.620493;4.86;0.00;0.00;0.00
14:40:25.820993;5.07;0.00;0.00;0.00
14:40:26.020380;5.26;0.00;0.00;0.00
14:40:26.220584;5.47;0.00;0.00;0.00
14:40:26.420278;5.66;0.00;0.00;0.00
14:40:26.620175;5.86;0.00;0.00;0.00
14:40:26.820355;6.07;0.00;0.00;0.00
14:40:27.020326;6.26;0.00;0.00;0.00
14:40:27.220275;6.47;0.00;0.00;0.00
14:40:27.420282;6.66;0.00;0.00;0.00
14:40:27.620597;6.86;0.00;0.00;0.00
14:40:27.819976;7.07;0.00;0.00;0.00
14:40:28.020231;7.26;0.00;0.00;0.00
14:40:28.220381;7.47;0.00;0.00;0.00
14:40:28.420210;7.66;0.00;0.00;0.00
14:40:28.619915;7.86;0.00;0.00;0.00
14:40:28.820220;8.06;0.00;0.00;0.00
14:40:29.020019;8.27;0.00;0.00;0.00
14:40:29.220004;8.47;0.00;0.00;0.00
14:40:29.420105;8.66;0.00;0.00;0.00
14:40:29.620148;8.86;0.00;0.00;0.00
14:40:29.819876;9.06;0.00;0.00;0.00
14:40:30.020022;9.27;0.00;0.00;0.00
14:40:30.221551;9.47;0.00;0.00;0.00
14:40:30.420560;9.66;0.00;0.00;0.00
14:40:30.622202;9.86;0.00;0.00;0.00
14:40:30.820467;10.06;0.00;0.00;0.00
14:40:31.020801;10.27;0.00;0.00;0.00
14:40:31.220997;10.47;0.00;0.00;1.62
14:40:31.420497;10.66;34.69;34.55;3.12
14:40:31.620460;10.86;34.69;34.55;6.25
14:40:31.820478;11.06;34.69;34.55;7.87
14:40:32.020870;11.27;220.55;219.68;7.87
14:40:32.220997;11.47;220.55;219.68;7.87
14:40:32.420469;11.66;410.51;408.89;7.87
14:40:32.620469;11.86;410.51;408.89;7.87
14:40:32.820684;12.06;410.51;408.89;21.62
14:40:33.021086;12.27;598.36;596.00;23.25
14:40:33.220798;12.47;598.36;596.00;26.25
14:40:33.420713;12.66;783.87;780.78;27.87
14:40:33.620763;12.86;783.87;780.78;30.00
14:40:33.820930;13.06;783.87;780.78;30.00
14:40:34.020992;13.27;901.05;897.50;30.00
14:40:34.220814;13.47;901.05;897.50;30.00
14:40:34.421008;13.66;902.46;898.91;30.00
14:40:34.621204;13.86;902.46;898.91;30.00
14:40:34.821011;14.06;902.46;898.91;30.00
14:40:35.021434;14.27;902.23;898.67;30.00
14:40:35.221433;14.47;902.23;898.67;30.00
14:40:35.421245;14.66;902.23;898.67;30.00
14:40:35.621463;14.86;902.23;898.67;30.00
14:40:35.820855;15.06;902.23;898.67;30.00
14:40:36.021237;15.27;902.81;899.26;30.00
14:40:36.220966;15.47;902.81;899.26;30.00
14:40:36.421177;15.66;902.70;899.14;30.00
14:40:36.621087;15.86;902.70;899.14;30.00
14:40:36.820827;16.07;902.70;899.14;30.00
14:40:37.021243;16.26;901.52;897.97;30.00
14:40:37.221224;16.47;901.52;897.97;30.00
14:40:37.420900;16.67;901.99;898.44;30.00
14:40:37.620994;16.86;901.99;898.44;30.00
14:40:37.821551;17.07;901.99;898.44;30.00
14:40:38.021285;17.26;902.11;898.56;30.00
14:40:38.220791;17.47;902.11;898.56;30.00
14:40:38.422016;17.67;901.41;897.85;30.00
14:40:38.621098;17.86;901.41;897.85;30.00
14:40:38.821045;18.07;901.41;897.85;30.00
14:40:39.021392;18.26;901.17;897.62;30.00
14:40:39.220967;18.47;901.17;897.62;30.00
14:40:39.421302;18.67;901.29;897.74;30.00
14:40:39.621248;18.86;901.29;897.74;30.00
14:40:39.821317;19.07;901.29;897.74;30.00
14:40:40.021067;19.26;901.52;897.97;30.00
14:40:40.221086;19.47;901.52;897.97;30.00
14:40:40.421281;19.67;901.29;897.74;30.00
